Rank,Country,GDP - per capita (PPP),Date of Information
1,Liechtenstein,139100.00,2009
2,Macau,122000.00,2018
3,Monaco,115700.00,2015
4,Luxembourg,112009.00,2019
5,Bermuda,99400.00,2016
6,Norway,91781.00,2019
7,Isle of Man,84600.00,2014
8,Switzerland,81475.00,2019
9,Ireland,81340.00,2019
10,Brunei,78900.00,2017
11,Falkland Islands (Islas Malvinas),70800.00,2015
12,United Arab Emirates,68600.00,2017
13,Sint Maarten,66800.00,2014
14,Denmark,66351.00,2019
15,Australia,62753.00,2019
16,Qatar,62019.00,2019
17,Gibraltar,61700.00,2014
18,Sweden,59699.00,2019
19,San Marino,59000.00,2017
20,Singapore,57853.00,2019
21,Jersey,56600.00,2016
22,Netherlands,56329.00,2019
23,United States,55761.00,2019
24,Iceland,54696.00,2019
25,Saudi Arabia,54500.00,2017
26,Guernsey,52500.00,2014
27,Canada,52205.00,2019
28,Germany,50800.00,2017
29,Austria,50205.00,2019
30,Andorra,49900.00,2015
31,Finland,49380.00,2019
32,Japan,48979.00,2019
33,Belgium,47478.00,2019
34,Saint Pierre and Miquelon,46200.00,2006
35,Oman,46000.00,2017
36,France,45739.00,2019
37,Cayman Islands,43800.00,2004
38,United Kingdom,43111.00,2019
39,Greenland,41800.00,2015
40,Faroe Islands,40000.00,2014
41,New Zealand,39815.00,2019
42,Puerto Rico,39400.00,2017
43,Hong Kong,38293.00,2019
44,Israel,37527.00,2019
45,Aruba,37500.00,2017
46,Malta,37300.00,2019
47,Virgin Islands,37000.00,2016
48,Guam,35600.00,2016
49,Italy,35589.00,2019
50,British Virgin Islands,34200.00,2017
51,Montserrat,34000.00,2011
52,Spain,33698.00,2019
53,Kuwait,33087.00,2018
54,"Bahamas, The",32400.00,2017
55,New Caledonia,31100.00,2015
56,"Korea, South",28941.00,2019
57,Saint Kitts and Nevis,28200.00,2017
58,Slovenia,27631.00,2019
59,Turks and Caicos Islands,27100.00,2018
60,Antigua and Barbuda,26400.00,2017
61,Czechia,25816.00,2019
62,Portugal,24808.00,2019
63,Greece,24588.00,2019
64,Taiwan,24502.00,2018
65,Northern Mariana Islands,24500.00,2016
66,Cyprus,23948.00,2019
67,Bahrain,23441.00,2019
68,Uruguay,22400.00,2017
69,Mauritius,22300.00,2017
70,Slovakia,21066.00,2019
71,Estonia,20897.00,2019
72,Iran,20100.00,2017
73,Lebanon,19600.00,2017
74,Saint Martin,19300.00,2005
75,Maldives,19200.00,2017
76,Lithuania,18844.00,2019
77,Poland,18768.00,2019
78,Barbados,18600.00,2017
79,Montenegro,17800.00,2017
80,Hungary,17749.00,2019
81,Botswana,17000.00,2017
82,Dominican Republic,17000.00,2017
83,French Polynesia,17000.00,2015
84,Croatia,16923.00,2019
85,Costa Rica,16900.00,2017
86,Latvia,16778.00,2019
87,Cook Islands,16700.00,2016
88,Algeria,15200.00,2017
89,Trinidad and Tobago,15185.00,2019
90,Grenada,15100.00,2017
91,Chile,15098.00,2019
92,Turkey,15075.00,2019
93,Curacao,15000.00,2004
94,Seychelles,14955.00,2019
95,Macedonia,14900.00,2017
96,Suriname,14900.00,2017
97,Palau,14700.00,2017
98,Saint Lucia,14400.00,2017
99,Mongolia,13700.00,2018
100,Russia,12842.00,2019
101,Paraguay,12800.00,2017
102,Malaysia,12482.00,2019
103,Cuba,12300.00,2016
104,Nauru,12300.00,2017
105,Anguilla,12200.00,2008
106,Romania,12011.00,2019
107,Panama,11910.00,2019
108,Tunisia,11900.00,2017
109,Kazakhstan,11845.00,2019
110,Saint Vincent and the Grenadines,11500.00,2017
111,American Samoa,11200.00,2016
112,Brazil,11117.00,2019
113,Dominica,11000.00,2017
114,Georgia,10700.00,2017
115,Mexico,10275.00,2019
116,Bulgaria,9888.00,2019
117,Argentina,9807.00,2019
118,Fiji,9800.00,2017
119,Armenia,9500.00,2017
120,Equatorial Guinea,9228.00,2019
121,Jamaica,9200.00,2017
122,Gabon,9119.00,2019
123,Bhutan,9000.00,2017
124,Belize,8300.00,2017
125,Guatemala,8200.00,2017
126,Libya,8141.00,2019
127,Guyana,8100.00,2017
128,China,8041.00,2019
129,El Salvador,8000.00,2017
130,Namibia,7873.00,2019
131,Colombia,7838.00,2019
132,"Saint Helena, Ascension, and Tristan da Cunha",7800.00,2019
133,Venezuela,7704.00,2018
134,Turkmenistan,7644.00,2018
135,Ukraine,7439.00,2019
136,Laos,7400.00,2017
137,South Africa,7341.00,2019
138,Serbia,7268.00,2019
139,Uzbekistan,6900.00,2017
140,"Congo, Republic of the",6800.00,2017
141,Belarus,6695.00,2019
142,Bosnia and Herzegovina,6641.00,2019
143,Thailand,6623.00,2019
144,Peru,6550.00,2019
145,Burma,6300.00,2017
146,Tokelau,6004.00,2017
147,Timor-Leste,6000.00,2017
148,Nicaragua,5900.00,2017
149,Nigeria,5900.00,2017
150,Tonga,5900.00,2017
151,Azerbaijan,5863.00,2019
152,Niue,5800.00,2003
153,Samoa,5700.00,2017
154,Iraq,5604.00,2019
155,Honduras,5600.00,2017
156,Albania,5156.00,2019
157,Ecuador,5097.00,2019
158,Eswatini,4821.00,2019
159,Ghana,4700.00,2017
160,Indonesia,4455.00,2019
161,West Bank,4300.00,2014
162,Kosovo,4281.00,2018
163,Sri Lanka,4103.00,2019
164,Cambodia,4000.00,2017
165,Zambia,4000.00,2017
166,Cabo Verde,3980.00,2019
167,Tuvalu,3800.00,2017
168,Wallis and Futuna,3800.00,2004
169,Cameroon,3700.00,2017
170,Papua New Guinea,3700.00,2017
171,Djibouti,3600.00,2017
172,Marshall Islands,3600.00,2017
173,Morocco,3450.00,2019
174,"Micronesia, Federated States of",3400.00,2017
175,Philippines,3340.00,2019
176,Jordan,3291.00,2019
177,Tajikistan,3200.00,2017
178,Angola,3097.00,2019
179,Egypt,2943.00,2019
180,Syria,2900.00,2015
181,Nepal,2700.00,2017
182,Vanuatu,2700.00,2017
183,Bolivia,2579.00,2019
184,Yemen,2500.00,2017
185,Moldova,2441.00,2019
186,Uganda,2400.00,2017
187,Solomon Islands,2200.00,2017
188,Vietnam,2125.00,2019
189,India,2100.00,2019
190,Rwanda,2100.00,2017
191,Afghanistan,2000.00,2017
192,Kiribati,2000.00,2017
193,Sudan,1929.00,2019
194,Haiti,1800.00,2017
195,"Korea, North",1700.00,2015
196,Cote d'Ivoire,1692.00,2018
197,Eritrea,1600.00,2017
198,Sierra Leone,1600.00,2017
199,South Sudan,1600.00,2017
200,Senegal,1583.00,2019
201,Comoros,1406.00,2019
202,Pakistan,1404.00,2019
203,Lesotho,1384.00,2019
204,Kenya,1354.00,2019
205,Zimbabwe,1306.00,2018
206,Mozambique,1300.00,2017
207,Bangladesh,1281.00,2019
208,Benin,1224.00,2018
209,Malawi,1200.00,2017
210,Kyrgyzstan,1127.00,2019
211,Tanzania,959.00,2019
212,Guinea,937.00,2019
213,Burkina Faso,821.00,2019
214,"Gambia, The",815.00,2019
215,Chad,813.00,2019
216,Mali,792.00,2019
217,Central African Republic,700.00,2017
218,Togo,672.00,2018
219,Guinea-Bissau,598.00,2018
220,Ethiopia,537.00,2019
221,Liberia,516.00,2019
222,Madagascar,497.00,2019
223,Niger,472.00,2018
224,"Congo, Democratic Republic of the",421.00,2019
225,Burundi,208.00,2019
226,Mauritania,175.00,2019
227,Sao Tome and Principe,1.00,2019
